control_id,variant_id,variant,family,nist_title,vocab_pattern,ml_reason,mlassure_pattern,collectors,control_text,meaning_preserved,notes,rewrite_rules_applied
CM-3,CM-3.r1,1,CM,Configuration Change Control,specific,"CloudTrail deploys versus registry approval time show whether configuration-controlled model changes were reviewed, approved, recorded, and implemented in order.",correlation,getCloudTrailEvents|getModelRegistryEntry,"a. Determine which types of changes to the system are configuration-controlled, and document those types; b. Review proposed configuration-controlled changes to the system and, with explicit consideration for security and privacy impact analyses, approve or disapprove those changes; c. Document configuration change decisions associated with the system; d. Implement approved configuration-controlled changes to the system; e. Retain records of configuration-controlled changes to the system for [Assignment: organization-defined time period]; f. Monitor activities associated with configuration-controlled changes to the system, and review those activities; and g. Coordinate configuration change control activities, and provide oversight for those activities, through [Assignment: organization-defined configuration change control element] that convenes [Selection (one or more): [Assignment: organization-defined frequency]; when [Assignment: organization-defined configuration change conditions]].",yes,,R3|R7
CM-3,CM-3.r2,2,CM,Configuration Change Control,specific,"CloudTrail deploys versus registry approval time show whether configuration-controlled model changes were reviewed, approved, recorded, and implemented in order.",correlation,getCloudTrailEvents|getModelRegistryEntry,"a. The types of changes to the system that are configuration-controlled are determined, and those types are documented; b. Proposed configuration-controlled changes to the system are reviewed and, with explicit consideration for security and privacy impact analyses, such changes are approved or disapproved; c. Configuration change decisions associated with the system are documented; d. Approved configuration-controlled changes to the system are implemented; e. Records of configuration-controlled changes to the system are retained for [Assignment: organization-defined time period]; f. Activities associated with configuration-controlled changes to the system are monitored, and those activities are reviewed; and g. Configuration change control activities are coordinated, and oversight for those activities is provided, through [Assignment: organization-defined configuration change control element] that convenes [Selection (one or more): [Assignment: organization-defined frequency]; when [Assignment: organization-defined configuration change conditions]].",yes,,R3|R7
CM-3,CM-3.r3,3,CM,Configuration Change Control,specific,"CloudTrail deploys versus registry approval time show whether configuration-controlled model changes were reviewed, approved, recorded, and implemented in order.",correlation,getCloudTrailEvents|getModelRegistryEntry,"a. Determine the types of changes to the system that are configuration-controlled, and document those types; b. With explicit consideration for security and privacy impact analyses, review proposed configuration-controlled changes to the system and approve or disapprove such changes; c. Document the system's associated configuration change decisions; d. Implement approved configuration-controlled changes to the system; e. For [Assignment: organization-defined time period], retain records of configuration-controlled changes to the system; f. Monitor activities associated with configuration-controlled changes to the system, and review those activities; and g. Coordinate configuration change control activities, and provide oversight for those activities, through [Assignment: organization-defined configuration change control element] that convenes [Selection (one or more): [Assignment: organization-defined frequency]; when [Assignment: organization-defined configuration change conditions]].",yes,,R3|R7
CM-3,CM-3.r4,4,CM,Configuration Change Control,specific,"CloudTrail deploys versus registry approval time show whether configuration-controlled model changes were reviewed, approved, recorded, and implemented in order.",correlation,getCloudTrailEvents|getModelRegistryEntry,"a. Determine the types of changes to the system that are configuration-controlled, and document those types; b. Review proposed configuration-controlled changes to the system and, with explicit consideration for security and privacy impact analyses, approve or disapprove such changes; c. Document configuration change decisions associated with the system; d. Implement the approved configuration-controlled changes to the system; e. Retain records of the system's configuration-controlled changes for [Assignment: organization-defined time period]; f. Monitor activities associated with configuration-controlled changes to the system, and review those activities; and g. Coordinate configuration change control activities, and provide oversight for those activities, through [Assignment: organization-defined configuration change control element] that convenes [Selection (one or more): [Assignment: organization-defined frequency]; when [Assignment: organization-defined configuration change conditions]].",yes,,R3|R7
CM-3(1),CM-3(1).r0,0,CM,"Configuration Change Control | Automated Documentation, Notification, and Prohibition of Changes",specific,"Registry approval status versus CloudTrail UpdateEndpoint/CreateEndpoint times show whether automated change records, approval, and prohibition-until-approval held.",correlation,getCloudTrailEvents|getModelRegistryEntry,Use [Assignment: organization-defined automated mechanisms] to: (a) Document proposed changes to the system; (b) Notify [Assignment: organization-defined approval authorities] of proposed changes to the system; and request change approval; (c) Highlight proposed changes to the system that have not been approved or disapproved within [Assignment: organization-defined time period]; (d) Prohibit changes to the system until designated approvals are received; (e) Document all changes to the system; and (f) Notify [Assignment: organization-defined personnel] when approved changes to the system are completed.,yes,r0: official NIST SP 800-53 Rev 5 v0 rewritten with Phase 5 rules R3|R7; [Assignment:]/[Selection:] copied verbatim from official v0; no requirements added or removed,R3|R7
CM-3(1),CM-3(1).r1,1,CM,"Configuration Change Control | Automated Documentation, Notification, and Prohibition of Changes",specific,"Registry approval status versus CloudTrail UpdateEndpoint/CreateEndpoint times show whether automated change records, approval, and prohibition-until-approval held.",correlation,getCloudTrailEvents|getModelRegistryEntry,Employ [Assignment: organization-defined automated mechanisms] to: (a) Document proposed changes to the system; (b) Notify [Assignment: organization-defined approval authorities] of proposed changes to the system; and request change approval; (c) Highlight proposed changes to the system that have not been approved or disapproved within [Assignment: organization-defined time period]; (d) Prohibit changes to the system until designated approvals are received; (e) Document all changes to the system; and (f) Notify [Assignment: organization-defined personnel] when approved changes to the system are completed.,yes,,R3|R7
CM-3(1),CM-3(1).r2,2,CM,"Configuration Change Control | Automated Documentation, Notification, and Prohibition of Changes",specific,"Registry approval status versus CloudTrail UpdateEndpoint/CreateEndpoint times show whether automated change records, approval, and prohibition-until-approval held.",correlation,getCloudTrailEvents|getModelRegistryEntry,Using [Assignment: organization-defined automated mechanisms]: (a) Document proposed changes to the system; (b) Notify [Assignment: organization-defined approval authorities] of proposed changes to the system; and request change approval; (c) Highlight proposed changes to the system that have not been approved or disapproved within [Assignment: organization-defined time period]; (d) Prohibit changes to the system until designated approvals are received; (e) Document all changes to the system; and (f) Notify [Assignment: organization-defined personnel] when approved changes to the system are completed.,yes,,R3|R7
CM-3(1),CM-3(1).r3,3,CM,"Configuration Change Control | Automated Documentation, Notification, and Prohibition of Changes",specific,"Registry approval status versus CloudTrail UpdateEndpoint/CreateEndpoint times show whether automated change records, approval, and prohibition-until-approval held.",correlation,getCloudTrailEvents|getModelRegistryEntry,Use [Assignment: organization-defined automated mechanisms] so as to: (a) Document proposed changes to the system; (b) Inform [Assignment: organization-defined approval authorities] of proposed changes to the system; and request change approval; (c) Highlight proposed changes to the system that have not been approved or disapproved within [Assignment: organization-defined time period]; (d) Bar changes to the system until designated approvals are received; (e) Document all changes to the system; and (f) Notify [Assignment: organization-defined personnel] when approved changes to the system are completed.,yes,,R3|R7
CM-3(1),CM-3(1).r4,4,CM,"Configuration Change Control | Automated Documentation, Notification, and Prohibition of Changes",specific,"Registry approval status versus CloudTrail UpdateEndpoint/CreateEndpoint times show whether automated change records, approval, and prohibition-until-approval held.",correlation,getCloudTrailEvents|getModelRegistryEntry,[Assignment: organization-defined automated mechanisms] are used to: (a) Document proposed changes to the system; (b) Notify [Assignment: organization-defined approval authorities] of proposed changes to the system; and request change approval; (c) Highlight proposed changes to the system that have not been approved or disapproved within [Assignment: organization-defined time period]; (d) Prohibit changes to the system until designated approvals are received; (e) Document all changes to the system; and (f) Notify [Assignment: organization-defined personnel] when approved changes to the system are completed.,yes,,R3|R7
CM-3(2),CM-3(2).r0,0,CM,"Configuration Change Control | Testing, Validation, and Documentation of Changes",specific,A hotfix UpdateEndpoint with no matching registry entry is the fixture's signal that a change was finalized without documented validation.,correlation,getCloudTrailEvents|getModelRegistryEntry,a. Test changes to the system before finalizing the implementation of the changes; b. Validate changes to the system before finalizing the implementation of the changes; and c. Document changes to the system before finalizing the implementation of the changes.,yes,r0: official NIST SP 800-53 Rev 5 v0 rewritten with Phase 5 rules R3; [Assignment:]/[Selection:] copied verbatim from official v0; no requirements added or removed,R3
CM-3(2),CM-3(2).r1,1,CM,"Configuration Change Control | Testing, Validation, and Documentation of Changes",specific,A hotfix UpdateEndpoint with no matching registry entry is the fixture's signal that a change was finalized without documented validation.,correlation,getCloudTrailEvents|getModelRegistryEntry,"a. Before finalizing the implementation of changes to the system, test those changes; b. Before finalizing the implementation of changes to the system, validate those changes; and c. Before finalizing the implementation of changes to the system, document those changes.",yes,,R3
CM-3(2),CM-3(2).r2,2,CM,"Configuration Change Control | Testing, Validation, and Documentation of Changes",specific,A hotfix UpdateEndpoint with no matching registry entry is the fixture's signal that a change was finalized without documented validation.,correlation,getCloudTrailEvents|getModelRegistryEntry,a. Changes to the system are tested before finalizing the implementation of the changes; b. Changes to the system are validated before finalizing the implementation of the changes; and c. Changes to the system are documented before finalizing the implementation of the changes.,yes,,R3
CM-3(2),CM-3(2).r3,3,CM,"Configuration Change Control | Testing, Validation, and Documentation of Changes",specific,A hotfix UpdateEndpoint with no matching registry entry is the fixture's signal that a change was finalized without documented validation.,correlation,getCloudTrailEvents|getModelRegistryEntry,a. Do not finalize implementation of changes to the system until the changes have been tested; b. Do not finalize implementation of changes to the system until the changes have been validated; and c. Do not finalize implementation of changes to the system until the changes have been documented.,yes,,R3
CM-3(2),CM-3(2).r4,4,CM,"Configuration Change Control | Testing, Validation, and Documentation of Changes",specific,A hotfix UpdateEndpoint with no matching registry entry is the fixture's signal that a change was finalized without documented validation.,correlation,getCloudTrailEvents|getModelRegistryEntry,a. Testing of changes to the system occurs before the implementation of those changes is finalized; b. Validation of changes to the system occurs before the implementation of those changes is finalized; and c. Documentation of changes to the system occurs before the implementation of those changes is finalized.,yes,,R3
CM-8(1),CM-8(1).r0,0,CM,System Component Inventory | Updates During Installation and Removal,specific,An UpdateEndpoint hotfix with no matching registry version is the fixture's missed inventory update on a system change.,correlation,getModelRegistryEntry|getCloudTrailEvents,Update the inventory of system components when any of the following occur: component installations; component removals; and system updates.,yes,r0: official NIST SP 800-53 Rev 5 v0 rewritten with Phase 5 rules R2|R3|R5|R6; [Assignment:]/[Selection:] copied verbatim from official v0; no requirements added or removed; review: official 'as part of' installations/removals/updates rendered as temporal 'when/on ... occur'; judged equivalent for assessment purposes,R2|R3|R5|R6
CM-8(1),CM-8(1).r1,1,CM,System Component Inventory | Updates During Installation and Removal,specific,An UpdateEndpoint hotfix with no matching registry version is the fixture's missed inventory update on a system change.,correlation,getModelRegistryEntry|getCloudTrailEvents,When any of the following occur — component installations; component removals; and system updates — update the inventory of system components.,yes,review: official 'as part of' installations/removals/updates rendered as temporal 'when/on ... occur'; judged equivalent for assessment purposes,R2|R3|R5|R6
CM-8(1),CM-8(1).r2,2,CM,System Component Inventory | Updates During Installation and Removal,specific,An UpdateEndpoint hotfix with no matching registry version is the fixture's missed inventory update on a system change.,correlation,getModelRegistryEntry|getCloudTrailEvents,The inventory of system components is updated when any of the following occur: component installations; component removals; and system updates.,yes,review: official 'as part of' installations/removals/updates rendered as temporal 'when/on ... occur'; judged equivalent for assessment purposes,R2|R3|R5|R6
CM-8(1),CM-8(1).r3,3,CM,System Component Inventory | Updates During Installation and Removal,specific,An UpdateEndpoint hotfix with no matching registry version is the fixture's missed inventory update on a system change.,correlation,getModelRegistryEntry|getCloudTrailEvents,"Update the inventory of system components when component installations occur, when component removals occur, and when system updates occur.",yes,review: official 'as part of' installations/removals/updates rendered as temporal 'when/on ... occur'; judged equivalent for assessment purposes,R2|R3|R5|R6
CM-8(1),CM-8(1).r4,4,CM,System Component Inventory | Updates During Installation and Removal,specific,An UpdateEndpoint hotfix with no matching registry version is the fixture's missed inventory update on a system change.,correlation,getModelRegistryEntry|getCloudTrailEvents,"On component installations, on component removals, and on system updates, update the inventory of system components.",yes,review: official 'as part of' installations/removals/updates rendered as temporal 'when/on ... occur'; judged equivalent for assessment purposes,R2|R3|R5|R6
SA-10,SA-10.r0,0,SA,Developer Configuration Management,specific,"Registry approval versus CloudTrail deploys (including a hotfix with no package) show whether only organization-approved, documented model changes were implemented.",correlation,getCloudTrailEvents|getModelRegistryEntry,"Require the developer of the system, system component, or system service to: a. Perform configuration management during system, component, or service [Selection (one or more): design; development; implementation; operation; disposal]; b. Document the integrity of changes to [Assignment: organization-defined configuration items under configuration management]; manage the integrity of those changes; and control the integrity of those changes; c. Implement only organization-approved changes to the system, component, or service; d. Document approved changes to the system, component, or service; and document the potential security and privacy impacts of such changes; and e. Track security flaws and flaw resolution within the system, component, or service; and report findings to [Assignment: organization-defined personnel].",yes,r0: official NIST SP 800-53 Rev 5 v0 rewritten with Phase 5 rules R3|R7; [Assignment:]/[Selection:] copied verbatim from official v0; no requirements added or removed,R3|R7
SA-10,SA-10.r1,1,SA,Developer Configuration Management,specific,"Registry approval versus CloudTrail deploys (including a hotfix with no package) show whether only organization-approved, documented model changes were implemented.",correlation,getCloudTrailEvents|getModelRegistryEntry,"Require the developer of the system, system component, or system service to: a. Carry out configuration management during system, component, or service [Selection (one or more): design; development; implementation; operation; disposal]; b. Document the integrity of changes to [Assignment: organization-defined configuration items under configuration management]; manage the integrity of those changes; and control the integrity of those changes; c. Implement only organization-approved changes to the system, component, or service; d. Document approved changes to the system, component, or service; and document the potential security and privacy impacts of such changes; and e. Track security flaws and flaw resolution within the system, component, or service; and report findings to [Assignment: organization-defined personnel].",yes,,R3|R7
SA-10,SA-10.r2,2,SA,Developer Configuration Management,specific,"Registry approval versus CloudTrail deploys (including a hotfix with no package) show whether only organization-approved, documented model changes were implemented.",correlation,getCloudTrailEvents|getModelRegistryEntry,"The developer of the system, system component, or system service is required to: a. Perform configuration management during system, component, or service [Selection (one or more): design; development; implementation; operation; disposal]; b. Document the integrity of changes to [Assignment: organization-defined configuration items under configuration management]; manage the integrity of those changes; and control the integrity of those changes; c. Implement only organization-approved changes to the system, component, or service; d. Document approved changes to the system, component, or service; and document the potential security and privacy impacts of such changes; and e. Track security flaws and flaw resolution within the system, component, or service; and report findings to [Assignment: organization-defined personnel].",yes,,R3|R7
SA-10,SA-10.r3,3,SA,Developer Configuration Management,specific,"Registry approval versus CloudTrail deploys (including a hotfix with no package) show whether only organization-approved, documented model changes were implemented.",correlation,getCloudTrailEvents|getModelRegistryEntry,"Require the developer of the system, system component, or system service to: a. Perform configuration management during [Selection (one or more): design; development; implementation; operation; disposal] of the system, component, or service; b. Document the integrity of changes to [Assignment: organization-defined configuration items under configuration management]; manage the integrity of those changes; and control the integrity of those changes; c. Implement only those changes to the system, component, or service that the organization has approved; d. Document approved changes to the system, component, or service; and document the potential security and privacy impacts of such changes; and e. Track security flaws and flaw resolution within the system, component, or service; and report findings to [Assignment: organization-defined personnel].",yes,,R3|R7
SA-10,SA-10.r4,4,SA,Developer Configuration Management,specific,"Registry approval versus CloudTrail deploys (including a hotfix with no package) show whether only organization-approved, documented model changes were implemented.",correlation,getCloudTrailEvents|getModelRegistryEntry,"Require the developer of the system, system component, or system service to: a. Perform configuration management during system, component, or service [Selection (one or more): design; development; implementation; operation; disposal]; b. Control the integrity of changes to [Assignment: organization-defined configuration items under configuration management]; manage the integrity of those changes; and document the integrity of those changes; c. Implement only organization-approved changes to the system, component, or service; d. Record approved changes to the system, component, or service; and record the potential security and privacy impacts of such changes; and e. Track security flaws and flaw resolution within the system, component, or service; and report findings to [Assignment: organization-defined personnel].",yes,,R3|R7
SA-4(8),SA-4(8).r0,0,SA,Acquisition Process | Continuous Monitoring Plan for Controls,mixed,Configured model-monitor schedules are the fixture's only continuous-monitoring plan evidence for this endpoint.,sufficiency,getModelMonitorSchedules,"Require the developer of the system, system component, or system service to produce a plan for continuous monitoring of control effectiveness; that plan is consistent with the continuous monitoring program of the organization.",yes,r0: official NIST SP 800-53 Rev 5 v0 rewritten with Phase 5 rules R2|R6; [Assignment:]/[Selection:] copied verbatim from official v0; no requirements added or removed,R2|R6
SA-4(8),SA-4(8).r1,1,SA,Acquisition Process | Continuous Monitoring Plan for Controls,mixed,Configured model-monitor schedules are the fixture's only continuous-monitoring plan evidence for this endpoint.,sufficiency,getModelMonitorSchedules,"The developer of the system, system component, or system service is required to produce a plan for continuous monitoring of control effectiveness; that plan is consistent with the continuous monitoring program of the organization.",yes,,R2|R6
SA-4(8),SA-4(8).r2,2,SA,Acquisition Process | Continuous Monitoring Plan for Controls,mixed,Configured model-monitor schedules are the fixture's only continuous-monitoring plan evidence for this endpoint.,sufficiency,getModelMonitorSchedules,"Require the developer of the system, system component, or system service to produce a continuous-monitoring plan for control effectiveness; that plan is consistent with the organization's continuous monitoring program.",yes,,R2|R6
SA-4(8),SA-4(8).r3,3,SA,Acquisition Process | Continuous Monitoring Plan for Controls,mixed,Configured model-monitor schedules are the fixture's only continuous-monitoring plan evidence for this endpoint.,sufficiency,getModelMonitorSchedules,"Require a plan for continuous monitoring of control effectiveness from the developer of the system, system component, or system service; that plan is consistent with the continuous monitoring program of the organization.",yes,,R2|R6
SA-4(8),SA-4(8).r4,4,SA,Acquisition Process | Continuous Monitoring Plan for Controls,mixed,Configured model-monitor schedules are the fixture's only continuous-monitoring plan evidence for this endpoint.,sufficiency,getModelMonitorSchedules,"Require the developer of the system, system component, or system service to produce a plan for continuously monitoring control effectiveness; that plan is consistent with the continuous monitoring program of the organization.",yes,,R2|R6
SI-2,SI-2.r0,0,SI,Flaw Remediation,specific,The undocumented hotfix deploy is the fixture's flaw-remediation change; registry absence tests whether it entered configuration management.,correlation,getCloudTrailEvents|getModelRegistryEntry,"a. Identify system flaws; report system flaws; and correct system flaws; b. Before installation, test software and firmware updates related to flaw remediation for effectiveness; and test those updates for potential side effects; c. Install security-relevant software and firmware updates within [Assignment: organization-defined time period] of the release of the updates; and d. Incorporate flaw remediation into the organizational configuration management process.",yes,r0: official NIST SP 800-53 Rev 5 v0 rewritten with Phase 5 rules R3|R7; [Assignment:]/[Selection:] copied verbatim from official v0; no requirements added or removed,R3|R7
SI-2,SI-2.r1,1,SI,Flaw Remediation,specific,The undocumented hotfix deploy is the fixture's flaw-remediation change; registry absence tests whether it entered configuration management.,correlation,getCloudTrailEvents|getModelRegistryEntry,"a. Identify flaws in the system; report those system flaws; and correct those system flaws; b. Before installation, test software and firmware updates related to flaw remediation for effectiveness; and test those updates for potential side effects; c. Install security-relevant software and firmware updates within [Assignment: organization-defined time period] of the release of the updates; and d. Incorporate flaw remediation into the organizational configuration management process.",yes,,R3|R7
SI-2,SI-2.r2,2,SI,Flaw Remediation,specific,The undocumented hotfix deploy is the fixture's flaw-remediation change; registry absence tests whether it entered configuration management.,correlation,getCloudTrailEvents|getModelRegistryEntry,a. System flaws are identified; system flaws are reported; and system flaws are corrected; b. Software and firmware updates related to flaw remediation are tested for effectiveness before installation; and those updates are tested for potential side effects before installation; c. Security-relevant software and firmware updates are installed within [Assignment: organization-defined time period] of the release of the updates; and d. Flaw remediation is incorporated into the organizational configuration management process.,yes,,R3|R7
SI-2,SI-2.r3,3,SI,Flaw Remediation,specific,The undocumented hotfix deploy is the fixture's flaw-remediation change; registry absence tests whether it entered configuration management.,correlation,getCloudTrailEvents|getModelRegistryEntry,"a. Identify system flaws, report system flaws, and correct system flaws; b. Test software and firmware updates related to flaw remediation for effectiveness before installation, and test those updates for potential side effects before installation; c. Within [Assignment: organization-defined time period] of the release of the updates, install security-relevant software and firmware updates; and d. Incorporate flaw remediation into the organizational configuration management process.",yes,,R3|R7
SI-2,SI-2.r4,4,SI,Flaw Remediation,specific,The undocumented hotfix deploy is the fixture's flaw-remediation change; registry absence tests whether it entered configuration management.,correlation,getCloudTrailEvents|getModelRegistryEntry,"a. Identify system flaws; report system flaws; and correct system flaws; b. Test, for effectiveness, software and firmware updates related to flaw remediation before installation; and test, for potential side effects, those updates before installation; c. Install security-relevant software and firmware updates within [Assignment: organization-defined time period] of the release of the updates; and d. Fold flaw remediation into the organizational configuration management process.",yes,,R3|R7
