control_id,variant_id,variant,family,nist_title,vocab_pattern,ml_reason,mlassure_pattern,collectors,control_text,meaning_preserved,notes
AC-6,AC-6.v2,2,AC,Least Privilege,vague-qualifier,Overly broad s3:* and sagemaker:* statements on the endpoint role are the fixture's least-privilege evidence.,sufficiency,getEndpointExecutionRole,"Users (or processes acting on behalf of users) are allowed only those authorized accesses necessary to accomplish assigned organizational tasks, employing the principle of least privilege.",,
AC-6,AC-6.v3,3,AC,Least Privilege,vague-qualifier,Overly broad s3:* and sagemaker:* statements on the endpoint role are the fixture's least-privilege evidence.,sufficiency,getEndpointExecutionRole,Use least privilege: grant users (or processes acting on behalf of users) solely the authorized accesses necessary to accomplish assigned organizational tasks.,,
AC-6,AC-6.v4,4,AC,Least Privilege,vague-qualifier,Overly broad s3:* and sagemaker:* statements on the endpoint role are the fixture's least-privilege evidence.,sufficiency,getEndpointExecutionRole,"Limit authorized accesses for users (or processes acting on behalf of users) to those necessary to accomplish assigned organizational tasks, employing the principle of least privilege.",,
AC-6(5),AC-6(5).v0,0,AC,Least Privilege | Privileged Accounts,specific,The endpoint's attached IAM role is the privileged account the fixture exposes for the running model.,sufficiency,getEndpointExecutionRole,Restrict privileged accounts on the system to [Assignment: organization-defined personnel or roles].,,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
AC-6(5),AC-6(5).v1,1,AC,Least Privilege | Privileged Accounts,specific,The endpoint's attached IAM role is the privileged account the fixture exposes for the running model.,sufficiency,getEndpointExecutionRole,Privileged accounts on the system are restricted to [Assignment: organization-defined personnel or roles].,,
AC-6(5),AC-6(5).v2,2,AC,Least Privilege | Privileged Accounts,specific,The endpoint's attached IAM role is the privileged account the fixture exposes for the running model.,sufficiency,getEndpointExecutionRole,Allow privileged accounts on the system only for [Assignment: organization-defined personnel or roles].,,
AC-6(5),AC-6(5).v3,3,AC,Least Privilege | Privileged Accounts,specific,The endpoint's attached IAM role is the privileged account the fixture exposes for the running model.,sufficiency,getEndpointExecutionRole,Confine privileged accounts on the system to [Assignment: organization-defined personnel or roles].,,
AC-6(5),AC-6(5).v4,4,AC,Least Privilege | Privileged Accounts,specific,The endpoint's attached IAM role is the privileged account the fixture exposes for the running model.,sufficiency,getEndpointExecutionRole,Limit the system's privileged accounts to [Assignment: organization-defined personnel or roles].,,
AC-6(7),AC-6(7).v0,0,AC,Least Privilege | Review of User Privileges,mixed,The fixture's role policy document is what an assessor can review to validate whether assigned privileges remain necessary.,sufficiency,getEndpointExecutionRole,"(a) Review [Assignment: organization-defined frequency] the privileges assigned to [Assignment: organization-defined roles or classes of users] to validate the need for such privileges; and (b) Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.",,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
AC-6(7),AC-6(7).v1,1,AC,Least Privilege | Review of User Privileges,mixed,The fixture's role policy document is what an assessor can review to validate whether assigned privileges remain necessary.,sufficiency,getEndpointExecutionRole,"(a) At [Assignment: organization-defined frequency], review the privileges assigned to [Assignment: organization-defined roles or classes of users] to validate the need for such privileges; and (b) Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.",,
AC-6(7),AC-6(7).v2,2,AC,Least Privilege | Review of User Privileges,mixed,The fixture's role policy document is what an assessor can review to validate whether assigned privileges remain necessary.,sufficiency,getEndpointExecutionRole,"(a) Review the privileges assigned to [Assignment: organization-defined roles or classes of users] [Assignment: organization-defined frequency] in order to validate the need for such privileges; and (b) If necessary, reassign or remove privileges so they correctly reflect organizational mission and business needs.",,
AC-6(7),AC-6(7).v3,3,AC,Least Privilege | Review of User Privileges,mixed,The fixture's role policy document is what an assessor can review to validate whether assigned privileges remain necessary.,sufficiency,getEndpointExecutionRole,"(a) Validate the need for privileges by reviewing, [Assignment: organization-defined frequency], the privileges assigned to [Assignment: organization-defined roles or classes of users]; and (b) Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.",,
AC-6(7),AC-6(7).v4,4,AC,Least Privilege | Review of User Privileges,mixed,The fixture's role policy document is what an assessor can review to validate whether assigned privileges remain necessary.,sufficiency,getEndpointExecutionRole,"(a) Review [Assignment: organization-defined frequency] privileges given to [Assignment: organization-defined roles or classes of users] to validate that those privileges are needed; and (b) Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.",,
AC-6(9),AC-6(9).v0,0,AC,Least Privilege | Log Use of Privileged Functions,specific,CloudTrail CreateEndpoint and UpdateEndpoint records are the fixture's log of privileged endpoint operations.,sufficiency,getCloudTrailEvents,Log the execution of privileged functions.,,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
AC-6(9),AC-6(9).v1,1,AC,Least Privilege | Log Use of Privileged Functions,specific,CloudTrail CreateEndpoint and UpdateEndpoint records are the fixture's log of privileged endpoint operations.,sufficiency,getCloudTrailEvents,Record the execution of privileged functions in a log.,,
AC-6(9),AC-6(9).v2,2,AC,Least Privilege | Log Use of Privileged Functions,specific,CloudTrail CreateEndpoint and UpdateEndpoint records are the fixture's log of privileged endpoint operations.,sufficiency,getCloudTrailEvents,Privileged-function execution is logged.,,
AC-6(9),AC-6(9).v3,3,AC,Least Privilege | Log Use of Privileged Functions,specific,CloudTrail CreateEndpoint and UpdateEndpoint records are the fixture's log of privileged endpoint operations.,sufficiency,getCloudTrailEvents,Capture logs of the execution of privileged functions.,,
AC-6(9),AC-6(9).v4,4,AC,Least Privilege | Log Use of Privileged Functions,specific,CloudTrail CreateEndpoint and UpdateEndpoint records are the fixture's log of privileged endpoint operations.,sufficiency,getCloudTrailEvents,Maintain a log of the execution of privileged functions.,,
AC-6(10),AC-6(10).v0,0,AC,Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions,specific,Role actions plus CloudTrail user identities show whether non-privileged actors can run privileged endpoint functions.,synthesis,getEndpointExecutionRole|getCloudTrailEvents,Prevent non-privileged users from executing privileged functions.,,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
AC-6(10),AC-6(10).v1,1,AC,Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions,specific,Role actions plus CloudTrail user identities show whether non-privileged actors can run privileged endpoint functions.,synthesis,getEndpointExecutionRole|getCloudTrailEvents,Stop non-privileged users from executing privileged functions.,,
AC-6(10),AC-6(10).v2,2,AC,Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions,specific,Role actions plus CloudTrail user identities show whether non-privileged actors can run privileged endpoint functions.,synthesis,getEndpointExecutionRole|getCloudTrailEvents,Non-privileged users are not permitted to execute privileged functions.,,
AC-6(10),AC-6(10).v3,3,AC,Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions,specific,Role actions plus CloudTrail user identities show whether non-privileged actors can run privileged endpoint functions.,synthesis,getEndpointExecutionRole|getCloudTrailEvents,Block execution of privileged functions by non-privileged users.,,
AC-6(10),AC-6(10).v4,4,AC,Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions,specific,Role actions plus CloudTrail user identities show whether non-privileged actors can run privileged endpoint functions.,synthesis,getEndpointExecutionRole|getCloudTrailEvents,Do not allow non-privileged users to execute privileged functions.,,
AU-2,AU-2.v0,0,AU,Event Logging,mixed,"The CloudTrail event set is what the fixture can log for this endpoint; an assessor can judge whether those event types are identified, selected, and adequate.",sufficiency,getCloudTrailEvents,a. Identify the types of events that the system is capable of logging in support of the audit function: [Assignment: organization-defined event types that the system is capable of logging]; b. Coordinate the event logging function with other organizational entities requiring audit-related information to guide and inform the selection criteria for events to be logged; c. Specify the following event types for logging within the system: [Assignment: organization-defined event types (subset of the event types defined in AU-2a.) along with the frequency of (or situation requiring) logging for each identified event type]; d. Provide a rationale for why the event types selected for logging are deemed to be adequate to support after-the-fact investigations of incidents; and e. Review and update the event types selected for logging [Assignment: organization-defined frequency].,,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
AU-2,AU-2.v1,1,AU,Event Logging,mixed,"The CloudTrail event set is what the fixture can log for this endpoint; an assessor can judge whether those event types are identified, selected, and adequate.",sufficiency,getCloudTrailEvents,"a. Identify the event types the system can log in support of the audit function: [Assignment: organization-defined event types that the system is capable of logging]; b. Coordinate event logging with other organizational entities that need audit-related information, to guide and inform the selection criteria for events to be logged; c. Specify these event types for logging within the system: [Assignment: organization-defined event types (subset of the event types defined in AU-2a.) along with the frequency of (or situation requiring) logging for each identified event type]; d. Provide a rationale for why the event types selected for logging are deemed to be adequate to support after-the-fact investigations of incidents; and e. Review and update the event types selected for logging [Assignment: organization-defined frequency].",,
AU-2,AU-2.v2,2,AU,Event Logging,mixed,"The CloudTrail event set is what the fixture can log for this endpoint; an assessor can judge whether those event types are identified, selected, and adequate.",sufficiency,getCloudTrailEvents,a. Determine which types of events the system is capable of logging in support of the audit function: [Assignment: organization-defined event types that the system is capable of logging]; b. Work with other organizational entities requiring audit-related information so that their needs guide and inform the selection criteria for events to be logged; c. Specify the following event types for logging within the system: [Assignment: organization-defined event types (subset of the event types defined in AU-2a.) along with the frequency of (or situation requiring) logging for each identified event type]; d. Explain why the event types selected for logging are deemed to be adequate to support after-the-fact investigations of incidents; and e. Review and update the selected event types [Assignment: organization-defined frequency].,,
AU-2,AU-2.v3,3,AU,Event Logging,mixed,"The CloudTrail event set is what the fixture can log for this endpoint; an assessor can judge whether those event types are identified, selected, and adequate.",sufficiency,getCloudTrailEvents,"a. Identify the types of events that the system is capable of logging in support of the audit function: [Assignment: organization-defined event types that the system is capable of logging]; b. Coordinate the event logging function with other organizational entities requiring audit-related information so as to guide and inform selection criteria for events to be logged; c. Within the system, specify the following event types for logging: [Assignment: organization-defined event types (subset of the event types defined in AU-2a.) along with the frequency of (or situation requiring) logging for each identified event type]; d. Give a rationale that the event types selected for logging are deemed to be adequate to support after-the-fact investigations of incidents; and e. At [Assignment: organization-defined frequency], review and update the event types selected for logging.",,
AU-2,AU-2.v4,4,AU,Event Logging,mixed,"The CloudTrail event set is what the fixture can log for this endpoint; an assessor can judge whether those event types are identified, selected, and adequate.",sufficiency,getCloudTrailEvents,a. Identify the types of events that the system is capable of logging in support of the audit function: [Assignment: organization-defined event types that the system is capable of logging]; b. Coordinate the event logging function with other organizational entities requiring audit-related information to guide and inform the selection criteria for events to be logged; c. Specify the following event types for logging within the system: [Assignment: organization-defined event types (subset of the event types defined in AU-2a.) along with the frequency of (or situation requiring) logging for each identified event type]; d. Provide a rationale for why the selected logging event types are deemed to be adequate to support after-the-fact incident investigations; and e. Review and update the event types selected for logging [Assignment: organization-defined frequency].,,
AU-3,AU-3.v0,0,AU,Content of Audit Records,specific,"Each CloudTrail record carries event name, time, user identity, and request parameters that an assessor can check against required audit-record content.",sufficiency,getCloudTrailEvents,"Ensure that audit records contain information that establishes the following: a. What type of event occurred; b. When the event occurred; c. Where the event occurred; d. Source of the event; e. Outcome of the event; and f. Identity of any individuals, subjects, or objects/entities associated with the event.",,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
AU-3,AU-3.v1,1,AU,Content of Audit Records,specific,"Each CloudTrail record carries event name, time, user identity, and request parameters that an assessor can check against required audit-record content.",sufficiency,getCloudTrailEvents,"Make certain that audit records contain information establishing the following: a. What type of event occurred; b. When the event occurred; c. Where the event occurred; d. Source of the event; e. Outcome of the event; and f. Identity of any individuals, subjects, or objects/entities associated with the event.",,
AU-3,AU-3.v2,2,AU,Content of Audit Records,specific,"Each CloudTrail record carries event name, time, user identity, and request parameters that an assessor can check against required audit-record content.",sufficiency,getCloudTrailEvents,"Audit records contain information that establishes: a. What type of event occurred; b. When the event occurred; c. Where the event occurred; d. Source of the event; e. Outcome of the event; and f. Identity of any individuals, subjects, or objects/entities associated with the event.",,
AU-3,AU-3.v3,3,AU,Content of Audit Records,specific,"Each CloudTrail record carries event name, time, user identity, and request parameters that an assessor can check against required audit-record content.",sufficiency,getCloudTrailEvents,"Ensure audit records include information that establishes all of the following: a. What type of event occurred; b. When the event occurred; c. Where the event occurred; d. Source of the event; e. Outcome of the event; and f. Identity of any individuals, subjects, or objects/entities associated with the event.",,
AU-3,AU-3.v4,4,AU,Content of Audit Records,specific,"Each CloudTrail record carries event name, time, user identity, and request parameters that an assessor can check against required audit-record content.",sufficiency,getCloudTrailEvents,"Audit records are to contain information establishing: a. The type of event that occurred; b. When the event occurred; c. Where the event occurred; d. The source of the event; e. The outcome of the event; and f. The identity of any individuals, subjects, or objects/entities associated with the event.",,
AU-6,AU-6.v0,0,AU,"Audit Record Review, Analysis, and Reporting",mixed,CloudTrail plus failed monitor runs are the fixture's audit-like records an assessor can review for unusual activity and impact.,synthesis,getCloudTrailEvents|getModelMonitorSchedules,"a. Review and analyze system audit records [Assignment: organization-defined frequency] for indications of [Assignment: organization-defined inappropriate or unusual activity] and the potential impact of the inappropriate or unusual activity; b. Report findings to [Assignment: organization-defined personnel or roles]; and c. Adjust the level of audit record review, analysis, and reporting within the system when there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information.",,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
AU-6,AU-6.v1,1,AU,"Audit Record Review, Analysis, and Reporting",mixed,CloudTrail plus failed monitor runs are the fixture's audit-like records an assessor can review for unusual activity and impact.,synthesis,getCloudTrailEvents|getModelMonitorSchedules,"a. Review and analyze system audit records [Assignment: organization-defined frequency] looking for indications of [Assignment: organization-defined inappropriate or unusual activity] and for the potential impact of that inappropriate or unusual activity; b. Report findings to [Assignment: organization-defined personnel or roles]; and c. Adjust the level of audit record review, analysis, and reporting within the system when risk changes based on law enforcement information, intelligence information, or other credible sources of information.",,
AU-6,AU-6.v2,2,AU,"Audit Record Review, Analysis, and Reporting",mixed,CloudTrail plus failed monitor runs are the fixture's audit-like records an assessor can review for unusual activity and impact.,synthesis,getCloudTrailEvents|getModelMonitorSchedules,"a. At [Assignment: organization-defined frequency], review and analyze system audit records for indications of [Assignment: organization-defined inappropriate or unusual activity] and the potential impact of the inappropriate or unusual activity; b. Report findings to [Assignment: organization-defined personnel or roles]; and c. When there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information, adjust the level of audit record review, analysis, and reporting within the system.",,
AU-6,AU-6.v3,3,AU,"Audit Record Review, Analysis, and Reporting",mixed,CloudTrail plus failed monitor runs are the fixture's audit-like records an assessor can review for unusual activity and impact.,synthesis,getCloudTrailEvents|getModelMonitorSchedules,"a. Examine and analyze system audit records [Assignment: organization-defined frequency] for indications of [Assignment: organization-defined inappropriate or unusual activity] and the potential impact of the inappropriate or unusual activity; b. Communicate findings to [Assignment: organization-defined personnel or roles]; and c. Adjust the level of audit record review, analysis, and reporting within the system when there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information.",,
AU-6,AU-6.v4,4,AU,"Audit Record Review, Analysis, and Reporting",mixed,CloudTrail plus failed monitor runs are the fixture's audit-like records an assessor can review for unusual activity and impact.,synthesis,getCloudTrailEvents|getModelMonitorSchedules,"a. Review and analyze system audit records [Assignment: organization-defined frequency] for indications of [Assignment: organization-defined inappropriate or unusual activity] and the potential impact of the inappropriate or unusual activity; b. Findings are reported to [Assignment: organization-defined personnel or roles]; and c. The level of audit record review, analysis, and reporting within the system is adjusted when there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information.",,
AU-6(3),AU-6(3).v0,0,AU,"Audit Record Review, Analysis, and Reporting | Correlate Audit Record Repositories",specific,CloudTrail and model-monitor histories are distinct record stores the fixture can correlate for endpoint situational awareness.,correlation,getCloudTrailEvents|getModelMonitorSchedules,Analyze and correlate audit records across different repositories to gain organization-wide situational awareness.,,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
AU-6(3),AU-6(3).v1,1,AU,"Audit Record Review, Analysis, and Reporting | Correlate Audit Record Repositories",specific,CloudTrail and model-monitor histories are distinct record stores the fixture can correlate for endpoint situational awareness.,correlation,getCloudTrailEvents|getModelMonitorSchedules,Correlate and analyze audit records across different repositories to gain organization-wide situational awareness.,,
AU-6(3),AU-6(3).v2,2,AU,"Audit Record Review, Analysis, and Reporting | Correlate Audit Record Repositories",specific,CloudTrail and model-monitor histories are distinct record stores the fixture can correlate for endpoint situational awareness.,correlation,getCloudTrailEvents|getModelMonitorSchedules,Gain organization-wide situational awareness by analyzing and correlating audit records across different repositories.,,
AU-6(3),AU-6(3).v3,3,AU,"Audit Record Review, Analysis, and Reporting | Correlate Audit Record Repositories",specific,CloudTrail and model-monitor histories are distinct record stores the fixture can correlate for endpoint situational awareness.,correlation,getCloudTrailEvents|getModelMonitorSchedules,"Across different repositories, analyze and correlate audit records in order to gain organization-wide situational awareness.",,
AU-6(3),AU-6(3).v4,4,AU,"Audit Record Review, Analysis, and Reporting | Correlate Audit Record Repositories",specific,CloudTrail and model-monitor histories are distinct record stores the fixture can correlate for endpoint situational awareness.,correlation,getCloudTrailEvents|getModelMonitorSchedules,Audit records in different repositories are analyzed and correlated to gain organization-wide situational awareness.,,
AU-8,AU-8.v0,0,AU,Time Stamps,specific,CloudTrail eventTime values (UTC) are the fixture's audit time stamps.,sufficiency,getCloudTrailEvents,"a. Use internal system clocks to generate time stamps for audit records; and b. Record time stamps for audit records that meet [Assignment: organization-defined granularity of time measurement] and that use Coordinated Universal Time, have a fixed local time offset from Coordinated Universal Time, or that include the local time offset as part of the time stamp.",,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
AU-8,AU-8.v1,1,AU,Time Stamps,specific,CloudTrail eventTime values (UTC) are the fixture's audit time stamps.,sufficiency,getCloudTrailEvents,"a. Generate time stamps for audit records using internal system clocks; and b. Record time stamps for audit records that meet [Assignment: organization-defined granularity of time measurement] and that use Coordinated Universal Time, have a fixed local time offset from Coordinated Universal Time, or that include the local time offset as part of the time stamp.",,
AU-8,AU-8.v2,2,AU,Time Stamps,specific,CloudTrail eventTime values (UTC) are the fixture's audit time stamps.,sufficiency,getCloudTrailEvents,"a. Internal system clocks are used to generate time stamps for audit records; and b. Time stamps recorded for audit records meet [Assignment: organization-defined granularity of time measurement] and use Coordinated Universal Time, have a fixed local time offset from Coordinated Universal Time, or include the local time offset as part of the time stamp.",,
AU-8,AU-8.v3,3,AU,Time Stamps,specific,CloudTrail eventTime values (UTC) are the fixture's audit time stamps.,sufficiency,getCloudTrailEvents,"a. Use internal system clocks to produce time stamps for audit records; and b. Record, for audit records, time stamps meeting [Assignment: organization-defined granularity of time measurement] that use Coordinated Universal Time, have a fixed local time offset from Coordinated Universal Time, or that include the local time offset as part of the time stamp.",,
AU-8,AU-8.v4,4,AU,Time Stamps,specific,CloudTrail eventTime values (UTC) are the fixture's audit time stamps.,sufficiency,getCloudTrailEvents,"a. Use internal system clocks to generate time stamps for audit records; and b. Audit-record time stamps meet [Assignment: organization-defined granularity of time measurement] and use Coordinated Universal Time, have a fixed local time offset from Coordinated Universal Time, or include the local time offset as part of the time stamp.",,
AU-12,AU-12.v0,0,AU,Audit Record Generation,specific,CloudTrail on this endpoint is the fixture's audit-record generation capability for deploy and change events.,sufficiency,getCloudTrailEvents,a. Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2a on [Assignment: organization-defined system components]; b. Allow [Assignment: organization-defined personnel or roles] to select the event types that are to be logged by specific components of the system; and c. Generate audit records for the event types defined in AU-2c that include the audit record content defined in AU-3.,,v0: official NIST SP 800-53 Rev 5 statement copied from CSRC control-catalog xlsx (retrieved 2026-08-29); whitespace normalized only
AU-12,AU-12.v1,1,AU,Audit Record Generation,specific,CloudTrail on this endpoint is the fixture's audit-record generation capability for deploy and change events.,sufficiency,getCloudTrailEvents,a. Provide the capability to generate audit records for the event types the system is capable of auditing as defined in AU-2a on [Assignment: organization-defined system components]; b. Allow [Assignment: organization-defined personnel or roles] to select the event types that are to be logged by specific components of the system; and c. Generate audit records for the event types defined in AU-2c that include the audit record content defined in AU-3.,,
AU-12,AU-12.v2,2,AU,Audit Record Generation,specific,CloudTrail on this endpoint is the fixture's audit-record generation capability for deploy and change events.,sufficiency,getCloudTrailEvents,"a. On [Assignment: organization-defined system components], provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2a; b. Permit [Assignment: organization-defined personnel or roles] to select the event types that are to be logged by specific components of the system; and c. Generate audit records for the AU-2c event types that include the AU-3 audit record content.",,
AU-12,AU-12.v3,3,AU,Audit Record Generation,specific,CloudTrail on this endpoint is the fixture's audit-record generation capability for deploy and change events.,sufficiency,getCloudTrailEvents,a. Supply audit record generation capability for the event types the system is capable of auditing as defined in AU-2a on [Assignment: organization-defined system components]; b. [Assignment: organization-defined personnel or roles] are allowed to select the event types that are to be logged by specific components of the system; and c. Audit records are generated for the event types defined in AU-2c and include the audit record content defined in AU-3.,,
AU-12,AU-12.v4,4,AU,Audit Record Generation,specific,CloudTrail on this endpoint is the fixture's audit-record generation capability for deploy and change events.,sufficiency,getCloudTrailEvents,a. Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2a on [Assignment: organization-defined system components]; b. Allow [Assignment: organization-defined personnel or roles] to choose which event types specific components of the system log; and c. Generate audit records for the event types defined in AU-2c that include the audit record content defined in AU-3.,,
